firstname,surname,email,age,password
Daniel,Byekwaso,big@malen,35,Male
Mike,Pense,asdf@,34,female
Mike,Pense,asdf@adf,34,female
prince,prise,mike@bl.com,20,abcdefg
string,string,string,0,string
nangaye,bolingo,abc@123,40,adfyi@88394
nangaye,bolingo,abc@ewr,40,adfyi@88394
nangaye,bolingo,abadfc@ewr,40,adfyi@88394
fnangaye,fbolfingo,abasdfc@ewr,40,fadfyi@88394
tfnangaye,tfbolfingo,tabasdfc@ewr,45,tfadfyi@88394
bold,printer,boldprinter@gmail.com,15,Prize
Bingo,Mike,mikeb@mtn.com,24,Password@Bingo123
